"lokalisationnummer","lokalisationsname","status","status_txt","lokalisation_art","lokalisation_art_txt","lokalisation_koord_ost","lokalisation_koord_nord","objid","lokalisation_ori","geometry"
"1710","Salomon-Vögelin-Strasse","1","real","1","Strasse","2682146.655","1244635.082","166","312.5","POINT (2682146.8 1244635.1)"
"1589","Redingstrasse","1","real","1","Strasse","2682132.311","1244825.721","168","346.3","POINT (2682132.2 1244825.8)"
"1393","Moränenstrasse","1","real","1","Strasse","2682431.655","1243832.328","175","75.3","POINT (2682431.8 1243832.4)"
"1797","Schürwies","1","real","1","Strasse","2682443.639","1244440.708","176","16.0","POINT (2682443.8 1244440.8)"
"186","Bellariarain","1","real","1","Strasse","2682546.86","1244827.879","177","71.0","POINT (2682546.8 1244827.9)"
"620","Gänziloobrücke","1","real","1","Strasse","2681429.493","1244801.044","178","357.0","POINT (2681429.5 1244801)"
"1738","Scheibenrain","1","real","1","Strasse","2681873.258","1244604.353","179","52.0","POINT (2681873.2 1244604.4)"
"2255","Ziegelstrasse","1","real","1","Strasse","2682431.854","1243897.304","195","346.0","POINT (2682431.8 1243897.2)"
"862","Hinterhagenweg","1","real","1","Strasse","2681713.693","1244362.668","201","79.6","POINT (2681713.8 1244362.6)"
"552","Föhreneggweg","1","real","1","Strasse","2680439.737","1244834.285","250","52.7","POINT (2680439.8 1244834.2)"
"2143","Wegackerstrasse","1","real","1","Strasse","2681478.49","1242848.147","296","88.3","POINT (2681478.5 1242848.1)"
"1112","Kleeweidstrasse","1","real","1","Strasse","2681154.416","1242671.766","310","9.0","POINT (2681154.5 1242671.8)"
"1896","Spindelstrasse","1","real","1","Strasse","2681571.21","1243733.036","325","359.0","POINT (2681571.2 1243733)"
"378","Dangelstrasse","1","real","1","Strasse","2682386.871","1243014.773","339","74.1","POINT (2682386.8 1243014.8)"
"2162","Weitlingweg","1","real","1","Strasse","2682167.209","1243404.32","340","33.0","POINT (2682167.2 1243404.4)"
"863","Hintermeisterhof","1","real","1","Strasse","2682024.462","1243459.053","341","272.3","POINT (2682024.5 1243459)"
"380","David-Hess-Weg","1","real","1","Strasse","2682593.493","1243190.638","342","273.8","POINT (2682593.5 1243190.6)"
"829","Heinrich-Federer-Strasse","1","real","1","Strasse","2682614.001","1243422.025","343","51.8","POINT (2682614 1243422)"
"1593","Reginastrasse","1","real","1","Strasse","2682430.212","1243734.324","344","273.0","POINT (2682430.2 1243734.4)"
"342","Butzenstrasse","1","real","1","Strasse","2681811.632","1243513.304","519","64.5","POINT (2681811.8 1243513.2)"
"717","Grossackerstrasse","1","real","1","Strasse","2680710.46","1242120.184","576","335.0","POINT (2680710.5 1242120.1)"
"1635","Risweg","1","real","1","Strasse","2681013.358","1242345.322","580","69.0","POINT (2681013.2 1242345.4)"
"1231","Leimbachstrasse","1","real","1","Strasse","2681425.842","1242784.496","604","65.3","POINT (2681425.8 1242784.5)"
"1110","Klebestrasse","1","real","1","Strasse","2681268.372","1242035.422","605","292.8","POINT (2681268.2 1242035.4)"
"977","Im Mittelleimbach","1","real","1","Strasse","2681336.33","1242065.258","606","284.1","POINT (2681336.2 1242065.2)"
"942","Hüslibachstrasse","1","real","1","Strasse","2681331.759","1242557.666","723","84.5","POINT (2681331.8 1242557.6)"
"1230","Leimbachsteg","1","real","1","Strasse","2681667.873","1243019.109","863","324.0","POINT (2681667.8 1243019.1)"
"187","Bellariastrasse","1","real","1","Strasse","2682397.486","1244590.368","967","73.8","POINT (2682397.5 1244590.4)"
"1809","Schwarzbächlistrasse","1","real","1","Strasse","2681286.034","1241898.624","1005","41.0","POINT (2681286 1241898.6)"
"1325","Marbachweg","1","real","1","Strasse","2681469.723","1242681.34","1006","294.0","POINT (2681469.8 1242681.4)"
"1580","Rebenstrasse","1","real","1","Strasse","2681391.851","1243130.838","1007","30.2","POINT (2681391.8 1243130.9)"
"607","Frymannstrasse","1","real","1","Strasse","2681222.668","1243742.513","1008","290.0","POINT (2681222.8 1243742.5)"
"2283","Zwirnerstrasse","1","real","1","Strasse","2681435.585","1243656.837","1009","285.2","POINT (2681435.5 1243656.9)"
"1975","Stotzstrasse","1","real","1","Strasse","2681088.383","1242822.739","1036","335.3","POINT (2681088.5 1242822.8)"
"1976","Stotzweg","1","real","1","Strasse","2681329.941","1242771.912","1037","326.8","POINT (2681330 1242771.9)"
"1352","Medikerweg","1","real","1","Strasse","2681313.977","1243866.363","1038","3.0","POINT (2681314 1243866.4)"
"880","Höcklerweg","1","real","1","Strasse","2681471.276","1244030.818","1039","271.0","POINT (2681471.2 1244030.9)"
"1319","Maneggpromenade","1","real","1","Strasse","2681207.843","1242632.37","1040","269.9","POINT (2681207.8 1242632.4)"
"1881","Soodstrasse","1","real","1","Strasse","2681600.382","1242512.424","1041","302.0","POINT (2681600.5 1242512.4)"
"2056","Tuschgenweg","1","real","1","Strasse","2681318.95","1242796.254","1132","61.3","POINT (2681319 1242796.2)"
"1581","Rebenweg","1","real","1","Strasse","2681224.456","1243122.291","1133","51.0","POINT (2681224.5 1243122.2)"
"1603","Rellstabstrasse","1","real","1","Strasse","2681352.407","1243170.711","1134","286.7","POINT (2681352.5 1243170.8)"
"282","Bruderwies","1","real","1","Strasse","2681569.4","1243118.999","1135","25.3","POINT (2681569.5 1243119)"
"2282","Zwirnerhalde","1","real","1","Strasse","2681451.194","1243484.941","1136","287.0","POINT (2681451.2 1243485)"
"1604","Rellstabweg","1","real","1","Strasse","2681328.321","1243278.293","1137","282.2","POINT (2681328.2 1243278.2)"
"283","Bruderwiesweg","1","real","1","Strasse","2681620.954","1243129.65","1138","327.0","POINT (2681621 1243129.6)"
"1864","Sihlweidstrasse","1","real","1","Strasse","2681452.234","1242275.804","1140","5.8","POINT (2681452.2 1242275.8)"
"82","Ankenweid","1","real","1","Strasse","2681397.748","1242665.727","1142","292.0","POINT (2681397.8 1242665.8)"
"804","Hauriweg","1","real","1","Strasse","2682345.449","1243467.252","1198","0.0","POINT (2682345.5 1243467.2)"
"1099","Kilchbergsteig","1","real","1","Strasse","2682693.165","1244206.63","1239","315.0","POINT (2682693.2 1244206.6)"
"736","Gstalderweg","1","real","1","Strasse","2681879.639","1243077.411","1252","77.4","POINT (2681879.8 1243077.4)"
"879","Höcklerstrasse","1","real","1","Strasse","2680264.996","1243622.725","1281","79.7","POINT (2680265 1243622.8)"
"1177","Kühweidweg","1","real","1","Strasse","2681881.609","1244014.38","1330","292.1","POINT (2681881.5 1244014.4)"
"416","Dunkelhölzlifussweg","1","real","1","Strasse","2681766.798","1244386.049","1331","84.8","POINT (2681766.8 1244386)"
"2060","Uetlibergweg","1","real","1","Strasse","2680131.413","1244453.892","1341","26.0","POINT (2680131.5 1244453.9)"
"132","Bachstrasse","1","real","1","Strasse","2682851.951","1244397.037","1381","12.6","POINT (2682852 1244397)"
"44","Alte Kalchbühlstrasse","1","real","1","Strasse","2682509.413","1243844.575","1382","75.6","POINT (2682509.5 1243844.6)"
"883","Hoffnungsstrasse","1","real","1","Strasse","2682879.593","1243942.631","1385","18.0","POINT (2682879.5 1243942.6)"
"1248","Lettenholzstrasse","1","real","1","Strasse","2682135.495","1243708.627","1418","12.3","POINT (2682135.5 1243708.6)"
"2520","A3W","1","real","1","Strasse","2681654.691","1244431.236","1470","81.0","POINT (2681654.8 1244431.2)"
"2519","A3","1","real","1","Strasse","2681649.522","1244239.62","1471","342.0","POINT (2681649.5 1244239.6)"
"1832","Seestrasse","1","real","1","Strasse","2683304.553","1243323.047","1498","314.0","POINT (2683304.5 1243323)"
"2307","Rolliweg","1","real","1","Strasse","2683146.011","1242986.729","1499","308.0","POINT (2683146 1242986.8)"
"492","Erligatterweg","1","real","1","Strasse","2682695.687","1242737.877","1501","271.5","POINT (2682695.8 1242737.9)"
"1232","Leimbachweg","1","real","1","Strasse","2681793.667","1242940.268","1502","47.3","POINT (2681793.8 1242940.2)"
"1401","Muggenbühlerhölzliweg","1","real","1","Strasse","2682019.1","1242776.668","1503","272.5","POINT (2682019 1242776.6)"
"1691","Rüteliweg","1","real","1","Strasse","2681878.925","1242256.886","1504","53.5","POINT (2681879 1242256.9)"
"319","Bühlholzweg","1","real","1","Strasse","2681942.318","1242905.583","1505","83.0","POINT (2681942.2 1242905.6)"
"2383","Biketrail Höckler","1","real","1","Strasse","2680516.574","1243755.003","1528","299.0","POINT (2680516.5 1243755)"
"2466","Locher-Oeri-Platz","0","projektiert","2","Platz","2681684.652","1243917.849","1536","0.0","POINT (2681684.8 1243917.9)"
"213","Besenrainweg","1","real","1","Strasse","2682312.33","1244494.61","1539","36.0","POINT (2682312.2 1244494.6)"
